case,model_seed,history,alpha,feature_dim,active_coefficients,validation_h8_mae,selected
bestest_hydronic_heat_pump,202608012,40,100000,531,2128,0.6263013187212092,False
bestest_hydronic_heat_pump,202608012,16,1,219,880,0.62855558153745172,False
bestest_hydronic_heat_pump,202608012,24,100000,323,1296,0.63285234654349976,False
bestest_hydronic_heat_pump,202608012,16,100000,219,880,0.64952315131471217,False
bestest_hydronic_heat_pump,202608012,8,100000,115,464,0.66519670044279544,False
bestest_hydronic_heat_pump,202608012,8,0.10000000000000001,115,464,0.66605182760875303,False
bestest_hydronic_heat_pump,202608012,4,0.0001,63,256,0.67318512740374259,False
bestest_hydronic_heat_pump,202608012,4,0.01,63,256,0.67371811191892772,False
bestest_hydronic_heat_pump,202608012,24,0.10000000000000001,323,1296,0.67851289976148543,False
bestest_hydronic_heat_pump,202608012,4,100000,63,256,0.69095425249167097,False
bestest_hydronic_heat_pump,202608012,4,0.001,63,256,0.82887636729556513,False
bestest_hydronic_heat_pump,202608012,16,0.10000000000000001,219,880,1.110666634395485,False
bestest_hydronic_heat_pump,202608012,8,0.01,115,464,1.1511464987107503,False
bestest_hydronic_heat_pump,202608012,16,0.01,219,880,1.4003418550069642,False
bestest_hydronic_heat_pump,202608012,24,0.01,323,1296,1.5391041805074734,False
bestest_hydronic_heat_pump,202608012,8,0.001,115,464,2.5367507663218185,False
bestest_hydronic_heat_pump,202608012,24,0.001,323,1296,2.9470574088368777,False
bestest_hydronic_heat_pump,202608012,24,0.0001,323,1296,3.0990144416375802,False
bestest_hydronic_heat_pump,202608012,8,0.0001,115,464,7.0796681589888308,False
bestest_hydronic_heat_pump,202608012,16,0.001,219,880,7.3785572716003314,False
bestest_hydronic_heat_pump,202608012,16,0.0001,219,880,26.817238212279459,False
bestest_hydronic_heat_pump,202608013,16,100,219,880,0.56985713287666528,True
bestest_hydronic_heat_pump,202608013,24,0.10000000000000001,323,1296,0.57035614324168049,False
bestest_hydronic_heat_pump,202608013,24,10,323,1296,0.57043877050783753,False
bestest_hydronic_heat_pump,202608013,24,1,323,1296,0.5709498459763479,False
bestest_hydronic_heat_pump,202608013,24,100,323,1296,0.57282365280914538,False
bestest_hydronic_heat_pump,202608013,16,10,219,880,0.5752098315299039,False
bestest_hydronic_heat_pump,202608013,4,100,63,256,0.58036528834442713,False
bestest_hydronic_heat_pump,202608013,16,1000,219,880,0.58041003251463241,False
bestest_hydronic_heat_pump,202608013,40,10000,531,2128,0.58078254653660555,False
bestest_hydronic_heat_pump,202608013,24,1000,323,1296,0.58124000836175482,False
bestest_hydronic_heat_pump,202608013,8,1000,115,464,0.58128428742238125,False
bestest_hydronic_heat_pump,202608013,8,100,115,464,0.58359758739932188,False
bestest_hydronic_heat_pump,202608013,4,0.0001,63,256,0.58598130840516116,False
bestest_hydronic_heat_pump,202608013,24,10000,323,1296,0.58720250241177652,False
bestest_hydronic_heat_pump,202608013,4,0.10000000000000001,63,256,0.58789904466856557,False
bestest_hydronic_heat_pump,202608013,40,1000,531,2128,0.58863767132496658,False
bestest_hydronic_heat_pump,202608013,4,10,63,256,0.59432154591946973,False
bestest_hydronic_heat_pump,202608013,40,100,531,2128,0.59439707586793,False
bestest_hydronic_heat_pump,202608013,16,10000,219,880,0.59439899458705125,False
bestest_hydronic_heat_pump,202608013,4,1000,63,256,0.59459318074446466,False
bestest_hydronic_heat_pump,202608013,8,10000,115,464,0.59851430690544905,False
bestest_hydronic_heat_pump,202608013,40,10,531,2128,0.60265428136797472,False
bestest_hydronic_heat_pump,202608013,40,1,531,2128,0.60621255262663487,False
bestest_hydronic_heat_pump,202608013,40,0.10000000000000001,531,2128,0.60672897093721101,False
bestest_hydronic_heat_pump,202608013,40,0.01,531,2128,0.6067830923991121,False
bestest_hydronic_heat_pump,202608013,40,0.001,531,2128,0.60678852716777998,False
bestest_hydronic_heat_pump,202608013,40,0.0001,531,2128,0.60678903767025361,False
bestest_hydronic_heat_pump,202608013,8,10,115,464,0.61067042789892323,False
bestest_hydronic_heat_pump,202608013,8,1,115,464,0.61319746266942754,False
bestest_hydronic_heat_pump,202608013,4,10000,63,256,0.61514806289794799,False
