policy,stratum_kind,stratum,effect
old_2h,case,bestest_hydronic_heat_pump,0.39105279082721112
old_2h,case,multizone_office_simple_air,0.24783088818584942
old_2h,case,twozone_apartment_hydronic,0.40158114750380469
old_2h,family,bias,0.36380869178533626
old_2h,family,drift,0.32189746934044339
old_2h,family,stuck,0.35652301508256246
old_2h,seed,202608011,0.33189993479780255
old_2h,seed,202608012,0.37089992191953358
old_2h,seed,202608013,0.36274909432421387
old_2h,seed,202608014,0.33214611823646945
old_2h,seed,202608015,0.3431468830341593
new_4h,case,bestest_hydronic_heat_pump,0.34518322592455164
new_4h,case,multizone_office_simple_air,0.25214898278168207
new_4h,case,twozone_apartment_hydronic,0.41945796082586684
new_4h,family,bias,0.35661095196501136
new_4h,family,drift,0.32139737021300818
new_4h,family,stuck,0.34241791886430339
new_4h,seed,202608011,0.3274658554482105
new_4h,seed,202608012,0.35717555200404083
new_4h,seed,202608013,0.34850901658516897
new_4h,seed,202608014,0.33742588735206258
new_4h,seed,202608015,0.33330725993545851
