horizon,case,policy,arm,mean_standardized_mae,std_across_seed_window_clusters,clusters,claim_scope
4,bestest_hydronic_heat_pump,new_4h,deterministic_wm,0.29796776024454008,0.068751331884121539,60,descriptive_only
4,bestest_hydronic_heat_pump,new_4h,legacy,0.35829238763360377,0.11017718364786461,60,descriptive_only
4,bestest_hydronic_heat_pump,new_4h,post_outcome_strengthened_recursive_ridge_arx,0.46431108003647115,0.076833549129735862,60,descriptive_only
4,bestest_hydronic_heat_pump,new_4h,ungated_h8,0.3275436608248517,0.092713703789713733,60,descriptive_only
4,bestest_hydronic_heat_pump,old_2h,deterministic_wm,0.2540185085825255,0.087801009305480668,60,descriptive_only
4,bestest_hydronic_heat_pump,old_2h,legacy,0.29528363467837587,0.11076500801054444,60,descriptive_only
4,bestest_hydronic_heat_pump,old_2h,post_outcome_strengthened_recursive_ridge_arx,0.43633648128429287,0.081465342230427465,60,descriptive_only
4,bestest_hydronic_heat_pump,old_2h,ungated_h8,0.27304202942385147,0.10650697557566212,60,descriptive_only
4,multizone_office_simple_air,new_4h,deterministic_wm,0.3626443532366937,0.12778788983421135,60,descriptive_only
4,multizone_office_simple_air,new_4h,legacy,0.44367132501046824,0.125829067125969,60,descriptive_only
4,multizone_office_simple_air,new_4h,post_outcome_strengthened_recursive_ridge_arx,0.45005589231947518,0.14206240829794381,60,descriptive_only
4,multizone_office_simple_air,new_4h,ungated_h8,0.39658297586755464,0.13285450932919324,60,descriptive_only
4,multizone_office_simple_air,old_2h,deterministic_wm,0.36369815783807563,0.13426053024630738,60,descriptive_only
4,multizone_office_simple_air,old_2h,legacy,0.4468532347674527,0.12784578713443656,60,descriptive_only
4,multizone_office_simple_air,old_2h,post_outcome_strengthened_recursive_ridge_arx,0.45018832085439336,0.14548403719167072,60,descriptive_only
4,multizone_office_simple_air,old_2h,ungated_h8,0.39883754380675301,0.13783664658108724,60,descriptive_only
4,twozone_apartment_hydronic,new_4h,deterministic_wm,0.28177624436258136,0.10639420793195568,60,descriptive_only
4,twozone_apartment_hydronic,new_4h,legacy,0.48725382398625799,0.22239350030855853,60,descriptive_only
4,twozone_apartment_hydronic,new_4h,post_outcome_strengthened_recursive_ridge_arx,0.44825545705893155,0.14168812473406697,60,descriptive_only
4,twozone_apartment_hydronic,new_4h,ungated_h8,0.38831036658616014,0.17822215039837058,60,descriptive_only
4,twozone_apartment_hydronic,old_2h,deterministic_wm,0.26681240657769378,0.089663116172817553,60,descriptive_only
4,twozone_apartment_hydronic,old_2h,legacy,0.48849637232263388,0.22142740477054559,60,descriptive_only
4,twozone_apartment_hydronic,old_2h,post_outcome_strengthened_recursive_ridge_arx,0.47022032770715771,0.12623376240494913,60,descriptive_only
4,twozone_apartment_hydronic,old_2h,ungated_h8,0.3774137608430404,0.1627765632189537,60,descriptive_only
8,bestest_hydronic_heat_pump,new_4h,deterministic_wm,0.32467419132931291,0.072363240303068607,60,inferential_primary
8,bestest_hydronic_heat_pump,new_4h,legacy,0.37963280230025614,0.11413014632000161,60,descriptive_only
8,bestest_hydronic_heat_pump,new_4h,post_outcome_strengthened_recursive_ridge_arx,0.49582448737317131,0.099829123887525434,60,inferential_primary
8,bestest_hydronic_heat_pump,new_4h,ungated_h8,0.35838058631422859,0.10235620059789273,60,descriptive_only
8,bestest_hydronic_heat_pump,old_2h,deterministic_wm,0.26861330365777458,0.085236152523642833,60,inferential_primary
8,bestest_hydronic_heat_pump,old_2h,legacy,0.3130396626673585,0.11422210075154901,60,descriptive_only
8,bestest_hydronic_heat_pump,old_2h,post_outcome_strengthened_recursive_ridge_arx,0.44111098566765167,0.12270286841849971,60,inferential_primary
8,bestest_hydronic_heat_pump,old_2h,ungated_h8,0.29082878671238593,0.1017036957350979,60,descriptive_only
8,multizone_office_simple_air,new_4h,deterministic_wm,0.32750445460414529,0.11374425067019125,60,inferential_primary
8,multizone_office_simple_air,new_4h,legacy,0.4276653096405259,0.11153395312018383,60,descriptive_only
8,multizone_office_simple_air,new_4h,post_outcome_strengthened_recursive_ridge_arx,0.43792740407350128,0.1357444788217661,60,inferential_primary
8,multizone_office_simple_air,new_4h,ungated_h8,0.35731129010371726,0.11481782160941349,60,descriptive_only
8,multizone_office_simple_air,old_2h,deterministic_wm,0.32938653160999631,0.1167517485897713,60,inferential_primary
8,multizone_office_simple_air,old_2h,legacy,0.4314484172996601,0.11369422721598886,60,descriptive_only
8,multizone_office_simple_air,old_2h,post_outcome_strengthened_recursive_ridge_arx,0.43791552516102611,0.13847882175874449,60,inferential_primary
8,multizone_office_simple_air,old_2h,ungated_h8,0.36018425771741147,0.11816218826253655,60,descriptive_only
8,twozone_apartment_hydronic,new_4h,deterministic_wm,0.27073216960635788,0.1034998842359089,60,inferential_primary
8,twozone_apartment_hydronic,new_4h,legacy,0.51286761581129936,0.23079387297734083,60,descriptive_only
8,twozone_apartment_hydronic,new_4h,post_outcome_strengthened_recursive_ridge_arx,0.46634378104899304,0.13504949475158709,60,inferential_primary
8,twozone_apartment_hydronic,new_4h,ungated_h8,0.39374715293886325,0.17822873169847098,60,descriptive_only
8,twozone_apartment_hydronic,old_2h,deterministic_wm,0.28319445852040859,0.11900621497635304,60,inferential_primary
8,twozone_apartment_hydronic,old_2h,legacy,0.543502495021147,0.21610545511146606,60,descriptive_only
8,twozone_apartment_hydronic,old_2h,post_outcome_strengthened_recursive_ridge_arx,0.47323786230850595,0.12728148046782847,60,inferential_primary
8,twozone_apartment_hydronic,old_2h,ungated_h8,0.42244254119841002,0.18251069174308199,60,descriptive_only
