scope,condition,policy,cases,case_median_scores,mean_of_case_medians,median_of_case_medians,population_inference
response_unseen_pair,zone_drift_positive,rc_supervisory_selector,2,"{""multizone_office_simple_air"":4.897894998193215e-08,""twozone_apartment_hydronic"":0.060815127277373995}",0.030407588128161987,0.030407588128161987,False
response_unseen_pair,zone_drift_positive,tuned_rule_based,2,"{""multizone_office_simple_air"":5.770161546456778e-08,""twozone_apartment_hydronic"":0.01515085983908444}",0.0075754587703499524,0.0075754587703499524,False
response_unseen_pair,zone_stuck,constant_zero,2,"{""multizone_office_simple_air"":0.0,""twozone_apartment_hydronic"":0.0}",0,0,False
response_unseen_pair,zone_stuck,legacy_rssm,2,"{""multizone_office_simple_air"":-9.345763105070289e-08,""twozone_apartment_hydronic"":-0.013690347782723235}",-0.0068452206201771431,-0.0068452206201771431,False
response_unseen_pair,zone_stuck,direct_h8_rssm,2,"{""multizone_office_simple_air"":2.527795232011124e-07,""twozone_apartment_hydronic"":-0.0003384414264923862}",-0.00016909432348459255,-0.00016909432348459255,False
response_unseen_pair,zone_stuck,deterministic_wm,2,"{""multizone_office_simple_air"":-8.495215219763044e-08,""twozone_apartment_hydronic"":-0.006182658232757138}",-0.0030913715924546677,-0.0030913715924546677,False
response_unseen_pair,zone_stuck,rc_supervisory_selector,2,"{""multizone_office_simple_air"":9.03216935416112e-09,""twozone_apartment_hydronic"":0.034390576182466465}",0.017195292607317909,0.017195292607317909,False
response_unseen_pair,zone_stuck,tuned_rule_based,2,"{""multizone_office_simple_air"":-3.3962701064830795e-08,""twozone_apartment_hydronic"":0.023448742932248735}",0.011724354484773835,0.011724354484773835,False
all_three_cases,clean,constant_zero,3,"{""bestest_hydronic_heat_pump"":0.0,""multizone_office_simple_air"":0.0,""twozone_apartment_hydronic"":0.0}",0,0,False
all_three_cases,clean,legacy_rssm,3,"{""bestest_hydronic_heat_pump"":-0.03483131069921845,""multizone_office_simple_air"":-9.345763105070289e-08,""twozone_apartment_hydronic"":-0.02536212647150638}",-0.02006451020945196,-0.025362126471506381,False
all_three_cases,clean,direct_h8_rssm,3,"{""bestest_hydronic_heat_pump"":-0.058758954231131304,""multizone_office_simple_air"":2.527795232011124e-07,""twozone_apartment_hydronic"":-0.0003384414264923862}",-0.019699047626033497,-0.0003384414264923862,False
all_three_cases,clean,deterministic_wm,3,"{""bestest_hydronic_heat_pump"":-0.055648644178981174,""multizone_office_simple_air"":-1.026941406145833e-07,""twozone_apartment_hydronic"":-0.005521175567036475}",-0.020389974146719423,-0.0055211755670364748,False
all_three_cases,clean,rc_supervisory_selector,3,"{""bestest_hydronic_heat_pump"":-0.0423501224647715,""multizone_office_simple_air"":5.798569316285468e-09,""twozone_apartment_hydronic"":0.06705483605062615}",0.0082349064614746538,5.7985693162854677e-09,False
all_three_cases,clean,tuned_rule_based,3,"{""bestest_hydronic_heat_pump"":-0.03932405342276105,""multizone_office_simple_air"":-3.3962701064830795e-08,""twozone_apartment_hydronic"":0.03782886456198095}",-0.00049840760782705548,-3.3962701064830795e-08,False
all_three_cases,zone_bias_negative,constant_zero,3,"{""bestest_hydronic_heat_pump"":0.0,""multizone_office_simple_air"":0.0,""twozone_apartment_hydronic"":0.0}",0,0,False
all_three_cases,zone_bias_negative,legacy_rssm,3,"{""bestest_hydronic_heat_pump"":-0.05129027520508585,""multizone_office_simple_air"":-9.345763105070289e-08,""twozone_apartment_hydronic"":-0.028478777714423947}",-0.02658971545904695,-0.028478777714423947,False
all_three_cases,zone_bias_negative,direct_h8_rssm,3,"{""bestest_hydronic_heat_pump"":-0.058758954231131304,""multizone_office_simple_air"":3.4084228309654984e-07,""twozone_apartment_hydronic"":-0.0003384414264923862}",-0.019699018271780198,-0.0003384414264923862,False
all_three_cases,zone_bias_negative,deterministic_wm,3,"{""bestest_hydronic_heat_pump"":-0.05199474378032225,""multizone_office_simple_air"":-4.143688413193894e-08,""twozone_apartment_hydronic"":-0.01661644798091146}",-0.022870411066039278,-0.016616447980911459,False
all_three_cases,zone_bias_negative,rc_supervisory_selector,3,"{""bestest_hydronic_heat_pump"":-0.04033072666620249,""multizone_office_simple_air"":4.158785933228097e-09,""twozone_apartment_hydronic"":-0.041332705883980705}",-0.027221142797132423,-0.040330726666202493,False
all_three_cases,zone_bias_negative,tuned_rule_based,3,"{""bestest_hydronic_heat_pump"":-0.03932405342276105,""multizone_office_simple_air"":-3.3962701064830795e-08,""twozone_apartment_hydronic"":0.03782886456198095}",-0.00049840760782705548,-3.3962701064830795e-08,False
all_three_cases,zone_bias_positive,constant_zero,3,"{""bestest_hydronic_heat_pump"":0.0,""multizone_office_simple_air"":0.0,""twozone_apartment_hydronic"":0.0}",0,0,False
all_three_cases,zone_bias_positive,legacy_rssm,3,"{""bestest_hydronic_heat_pump"":-0.030749245084225958,""multizone_office_simple_air"":-9.345763105070289e-08,""twozone_apartment_hydronic"":-0.013690347782723235}",-0.014813228774860082,-0.013690347782723235,False
all_three_cases,zone_bias_positive,direct_h8_rssm,3,"{""bestest_hydronic_heat_pump"":-0.06290784770857215,""multizone_office_simple_air"":2.527795232011124e-07,""twozone_apartment_hydronic"":-0.0003384414264923862}",-0.021082012118513779,-0.0003384414264923862,False
