case,day,window_id,temperature_stratum,condition,policy,steps,control_steps,decisions,initialized_state_sha256,forecast_sha256,control_cost_proxy,control_discomfort_kh,control_energy_kwh,action_minus_fraction,action_zero_fraction,action_plus_fraction,action_changes,tdis_tot,idis_tot,ener_tot,cost_tot,emis_tot,pele_tot,time_rat,cost_budget,discomfort_budget,neutral_cost_tot,neutral_tdis_tot,neutral_cost_budget,neutral_discomfort_budget,operational_score
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,clean,constant_zero,192,144,0,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,17.973634826452702,0.71680975638416555,69.798690746689232,0,1,0,0,0.68868924357153816,0,0.53641362325982245,0.13681106906245208,0.089581075084390352,0.017061577397821229,6.3564764891619457e-06,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,0
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,clean,deterministic_wm,192,144,9,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,14.513910647183957,2.1585396551891307,56.713534815150936,0.66666666666666663,0,0.33333333333333331,6,1.9440683434693593,0,0.46817388644505525,0.11880475764867035,0.078185039036324247,0.020290096176666696,1.586088404674874e-05,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,-0.093330869176343922
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,clean,direct_h8_rssm,192,144,9,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,14.513910647183957,2.1585396551891307,56.713534815150936,0.66666666666666663,0,0.33333333333333331,6,1.9440683434693593,0,0.46817388644505525,0.11880475764867035,0.078185039036324247,0.020290096176666696,3.0059595313302446e-05,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,-0.093330869176343922
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,clean,legacy_rssm,192,144,9,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,16.329382651597427,4.409625196696382,63.804944479395715,0.77777777777777779,0,0.22222222222222221,4,4.2184080037208513,0,0.50447221838822065,0.12814219471248969,0.084246860470832866,0.020444155868730166,2.9611984195232112e-05,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,-0.036669119179724145
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,clean,rc_supervisory_selector,192,144,9,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,14.513910647183957,2.1585396551891307,56.713534815150936,0.66666666666666663,0,0.33333333333333331,6,1.9440683434693593,0,0.46817388644505525,0.11880475764867035,0.078185039036324247,0.020290096176666696,7.4314613408859277e-06,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,-0.093330869176343922
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,clean,tuned_rule_based,192,144,9,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,14.513910647183957,2.1585396551891307,56.713534815150936,0.66666666666666663,0,0.33333333333333331,6,1.9440683434693593,0,0.46817388644505525,0.11880475764867035,0.078185039036324247,0.020290096176666696,6.4599770595335281e-06,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,-0.093330869176343922
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,zone_bias_negative,constant_zero,192,144,0,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,17.973634826452702,0.71680975638416555,69.798690746689232,0,1,0,0,0.68868924357153816,0,0.53641362325982245,0.13681106906245208,0.089581075084390352,0.017061577397821229,6.1365294553569196e-06,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,0
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,zone_bias_negative,deterministic_wm,192,144,9,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,15.160622654754034,1.7730410608884881,59.432887769981477,0.55555555555555558,0.1111111111111111,0.33333333333333331,6,1.5590231565852481,0,0.48105545013917222,0.12189802850352736,0.080336260173241775,0.020290096176666696,1.6781851051157475e-05,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,-0.077776223544250289
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,zone_bias_negative,direct_h8_rssm,192,144,9,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,15.678892266903151,1.9518709070147224,61.789191087482791,0.55555555555555558,0.1111111111111111,0.33333333333333331,5,1.7374826144188702,0,0.49485759385203815,0.12493014881308133,0.082641218173290343,0.019941926741109069,2.9188969441802783e-05,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,-0.060958757623285321
bestest_hydronic_heat_pump,9,bestest_hydronic_heat_pump:day009,1,zone_bias_negative,legacy_rssm,192,144,9,11d8c0167c185dfe3c527e4aa08f88de8cafc86b85d8adf1b708c4210e456c94,92f6da32bedd89c6098e4938711ef2291d55ea7f36ddc3f016da63cb056d94f5,14.8048048574696,4.1669666214593235,58.067485948290809,0.66666666666666663,0.1111111111111111,0.22222222222222221,6,3.950370067031177,0,0.47574717213345658,0.12046609762166145,0.079449777746287253,0.020181893805499302,2.8878491309023376e-05,0.092933750000000009,177,0.13681106906245208,0.68868924357153816,0.092933750000000009,177,-0.078725047505296339
