case,condition,candidate,reference,endpoint,windows,median_paired_difference,mean_paired_difference,ci95_low,ci95_high,improved_windows,tied_windows
bestest_hydronic_heat_pump,clean,direct_h8_rssm,legacy_rssm,control_cost_proxy,12,0,-0.10297577814536789,-0.21616996427784141,0,4,6
bestest_hydronic_heat_pump,clean,direct_h8_rssm,legacy_rssm,control_discomfort_kh,12,-0.49095061592014844,-2.2668503839533698,-3.3824832836540182,0,7,4
bestest_hydronic_heat_pump,clean,direct_h8_rssm,legacy_rssm,control_energy_kwh,12,0,-0.46319402654445402,-1.1801344916763483,0,4,6
bestest_hydronic_heat_pump,clean,deterministic_wm,direct_h8_rssm,operational_score,12,0,-0.00030507670103055613,-0.0056485455277876908,0.0077646141057394827,5,2
bestest_hydronic_heat_pump,clean,deterministic_wm,direct_h8_rssm,cost_tot,12,0.00026196230663081549,0.0017254544900202392,0,0.0049666846237467963,2,4
bestest_hydronic_heat_pump,clean,deterministic_wm,direct_h8_rssm,tdis_tot,12,-2.2849817222780899e-06,-2.1546779860599723,-3.2796391946967951,6.7044980859298775e-06,6,3
bestest_hydronic_heat_pump,clean,deterministic_wm,direct_h8_rssm,control_cost_proxy,12,0.075198039388674864,0.31853980964473577,0,0.92701258027622613,1,5
bestest_hydronic_heat_pump,clean,deterministic_wm,direct_h8_rssm,control_discomfort_kh,12,-2.4279739605503892e-06,-2.1615943714543753,-3.2876707719798475,6.4998244795333449e-06,6,3
bestest_hydronic_heat_pump,clean,deterministic_wm,direct_h8_rssm,control_energy_kwh,12,0.20862165941372268,1.211712797606274,0,3.3216233331181702,1,5
bestest_hydronic_heat_pump,clean,rc_supervisory_selector,deterministic_wm,operational_score,12,0,-0.0071913109809439262,-0.0063050394207988568,0.0026456327914256856,5,4
bestest_hydronic_heat_pump,clean,rc_supervisory_selector,deterministic_wm,cost_tot,12,0,-0.0014837440039937979,-0.0016050120315506747,0,4,6
bestest_hydronic_heat_pump,clean,rc_supervisory_selector,deterministic_wm,tdis_tot,12,0,0.37960208371882032,-4.0459150554839063e-06,0.30443385959351693,4,4
bestest_hydronic_heat_pump,clean,rc_supervisory_selector,deterministic_wm,control_cost_proxy,12,0,-0.30087536328115755,-0.29952189019402198,0,4,6
bestest_hydronic_heat_pump,clean,rc_supervisory_selector,deterministic_wm,control_discomfort_kh,12,0,0.37709641340880751,-4.2621814628773791e-06,0.32770979278976853,4,4
bestest_hydronic_heat_pump,clean,rc_supervisory_selector,deterministic_wm,control_energy_kwh,12,0,-1.3672763266207848,-1.5334920878855165,0,4,6
bestest_hydronic_heat_pump,clean,tuned_rule_based,deterministic_wm,operational_score,12,3.3308772374779583e-09,0.00090211802707817947,-0.006305030173412364,0.011519187175871195,3,3
bestest_hydronic_heat_pump,clean,tuned_rule_based,deterministic_wm,cost_tot,12,0,1.8337122591923084e-05,-0.0016050120315506747,0.0010338734582880302,4,5
