case,condition,policy,endpoint,windows,median,mean,minimum,maximum
bestest_hydronic_heat_pump,clean,constant_zero,operational_score,12,0,0,0,0
bestest_hydronic_heat_pump,clean,constant_zero,cost_tot,12,0.09593082353408397,0.074950287879841718,0,0.13681106906245208
bestest_hydronic_heat_pump,clean,constant_zero,tdis_tot,12,1.0786171347283076,1.5226250329243625,0.14303030565056882,3.9515590712258191
bestest_hydronic_heat_pump,clean,constant_zero,control_cost_proxy,12,12.350201259135211,9.7873464898609583,0,19.222873838757
bestest_hydronic_heat_pump,clean,constant_zero,control_discomfort_kh,12,0.69000220711127014,1.2791314656744852,0,4.1863732272659036
bestest_hydronic_heat_pump,clean,constant_zero,control_energy_kwh,12,48.649636107264897,38.30886762608533,0,74.439277914793365
bestest_hydronic_heat_pump,clean,legacy_rssm,operational_score,12,-0.034831310699218451,-0.038773960198609382,-0.1131357216522063,0.030143770035265804
bestest_hydronic_heat_pump,clean,legacy_rssm,cost_tot,12,0.070547113884004919,0.064024791282176183,0,0.12814219471248969
bestest_hydronic_heat_pump,clean,legacy_rssm,tdis_tot,12,4.0849775882911654,6.2627635191100035,0.14303030565056882,21.610539460050191
bestest_hydronic_heat_pump,clean,legacy_rssm,control_cost_proxy,12,7.5402660502417485,7.7149624849201928,0,16.329382651597427
bestest_hydronic_heat_pump,clean,legacy_rssm,control_discomfort_kh,12,4.2979928912484127,6.1286345998125178,0,21.754841348941042
bestest_hydronic_heat_pump,clean,legacy_rssm,control_energy_kwh,12,30.43081795131123,30.53949279082596,0,63.804944479395715
bestest_hydronic_heat_pump,clean,direct_h8_rssm,operational_score,12,-0.058758954231131304,-0.049434689772890228,-0.11258865402939656,0.0021598131148037754
bestest_hydronic_heat_pump,clean,direct_h8_rssm,cost_tot,12,0.080244624209861892,0.063725719609794104,0,0.11880475764867035
bestest_hydronic_heat_pump,clean,direct_h8_rssm,tdis_tot,12,3.5463210027235501,4.0221557488099107,0.14303030565056882,10.357160306029895
bestest_hydronic_heat_pump,clean,direct_h8_rssm,control_cost_proxy,12,9.26115940270879,7.6119867067748244,0,14.951449795718608
bestest_hydronic_heat_pump,clean,direct_h8_rssm,control_discomfort_kh,12,3.3921840983498868,3.861784215859148,0,10.45515338622377
bestest_hydronic_heat_pump,clean,direct_h8_rssm,control_energy_kwh,12,36.900963532518659,30.076298764281507,0,59.727629862184045
