case,selected_block_rows,selected_state_order,selected_innovation_clip_sigma,spectral_radius,active_coefficients,model_file_sha256
bestest_hydronic_heat_pump,8,4,3.0,0.9590338459607647,80,b38176706fd5ecfc1e6a1e6eb8f4640a4e953548561a43905db989aa9ccc660e
multizone_office_simple_air,12,4,0.0,0.9343334944827699,80,e5ec618f196349c8b94d71a4decd1239728652447d158059795b8f70d08dbdd3
twozone_apartment_hydronic,12,4,3.0,0.9266652372281653,80,902023b36e6ad7c8afb73e40f88a0c0160a2cd4d92f0e4e869af9e15e5fa186f
