policy,horizon,arm,family,standardized_mae
old_2h,8,ungated_h8,healthy,0.35647780678486135
old_2h,1,deterministic_wm,stuck,0.34695488319539192
old_2h,1,legacy,stuck,0.43296676894178293
old_2h,1,ungated_h8,stuck,0.36794426214092274
old_2h,2,deterministic_wm,stuck,0.32129747112002105
old_2h,2,legacy,stuck,0.41786950447122201
old_2h,2,ungated_h8,stuck,0.35143289594747906
old_2h,4,deterministic_wm,stuck,0.30094894026390712
old_2h,4,legacy,stuck,0.41135284844300801
old_2h,4,ungated_h8,stuck,0.35146240215998642
old_2h,8,deterministic_wm,stuck,0.29316836068533852
old_2h,8,legacy,stuck,0.43105890616269793
old_2h,8,ungated_h8,stuck,0.35902742699332224
