estimand,old_2h_estimate_percent,new_4h_estimate_percent,new_minus_old_percent,ci90_lower_percent,ci90_upper_percent,ci95_lower_percent,ci95_upper_percent,old_2h_category,new_4h_category,persistent_across_dwell
A,-21.818263372259604,-20.210860104385219,1.6074032678743855,-6.7950826432337958,11.927111612251826,-9.5115043497515579,16.010538043683848,DETERMINISTIC_WM_ADVANTAGE,DETERMINISTIC_WM_ADVANTAGE,True
D,16.656565158633196,15.962139749990945,-0.69442540864225188,-3.2293922731331337,2.5355405154358293,-3.8913748602073848,3.4807028614919688,H8_BENEFIT,H8_BENEFIT,True
