policy,horizon,arm,standardized_mae
new_4h,1,deterministic_wm,0.32506439519053282
new_4h,1,legacy,0.42201459516039219
new_4h,1,ungated_h8,0.36897089716817183
new_4h,2,deterministic_wm,0.31789151895559475
new_4h,2,legacy,0.42261051569777591
new_4h,2,ungated_h8,0.36454081109460118
new_4h,4,deterministic_wm,0.31412945261460501
new_4h,4,legacy,0.42973917887677665
new_4h,4,ungated_h8,0.37081233442618883
new_4h,8,deterministic_wm,0.30763693851327195
new_4h,8,legacy,0.44005524258402701
new_4h,8,ungated_h8,0.369813009785603
old_2h,1,deterministic_wm,0.33471806670782372
old_2h,1,legacy,0.4341834297024208
old_2h,1,ungated_h8,0.36958787511133989
old_2h,2,deterministic_wm,0.31165852551051781
old_2h,2,legacy,0.4188802987280868
old_2h,2,ungated_h8,0.35061984264934759
old_2h,4,deterministic_wm,0.29484302433276494
old_2h,4,legacy,0.41021108058948746
old_2h,4,ungated_h8,0.34976444469121493
old_2h,8,deterministic_wm,0.29373143126272644
old_2h,8,legacy,0.42933019166272191
old_2h,8,ungated_h8,0.35781852854273583
