case,selected_topology,selected_equipment_ridge_alpha,selected_innovation_clip_sigma,selected_validation_h8_mae,active_coefficients,zone_capacity_j_per_k,outdoor_resistance_k_per_w,mass_capacity_j_per_k,mass_to_zone_capacity_ratio,zone_mass_resistance_k_per_w,mass_outdoor_resistance_k_per_w,effective_solar_aperture_m2,constant_heat_flow_w,boundary_relative_span_tolerance,equipment_regularization_endpoint,outdoor_conductance_near_bound,zone_coefficient_sum_near_upper_bound,mass_capacity_ratio_near_bound,hvac_gain_near_bound,solar_aperture_near_bound,constant_heat_flow_near_bound,physical_boundary_flag_count
bestest_hydronic_heat_pump,2r2c,0.0,3.0,0.4213737254313518,48,51951234.4731351,0.0038157457941539945,157299259.4482654,3.027825248880421,0.00045227557049810197,,18.614420646784982,-549.3720288448563,0.001,ordinary_least_squares,False,False,False,False,False,False,0
multizone_office_simple_air,2r2c,10.0,5.0,0.6193534016239253,48,89879819417.18167,0.0010010193072334502,7705566140158.478,85.73188275326531,1.528850486754241e-06,,6284.098381917038,-120842.16590439212,0.001,interior,True,False,False,True,False,False,2
twozone_apartment_hydronic,2r2c,100.0,3.0,0.4599103956376189,48,13302845.859125433,0.013566219084390001,42345179.656137615,3.1831669782965903,0.002383490407859889,,4.186806312117869,-84.85835582190477,0.001,interior,False,False,False,False,True,False,1
